,success_Rate,agent,thinking_steps
212,0.042,13m,3
213,0.067,14m,3
214,0.098,15m,3
215,0.104,16m,3
216,0.103,17m,3
217,0.131,18m,3
218,0.169,19m,3
219,0.161,20m,3
220,0.143,21m,3
221,0.22,22m,3
222,0.157,23m,3
223,0.214,24m,3
224,0.213,25m,3
225,0.161,26m,3
226,0.287,27m,3
227,0.309,28m,3
228,0.357,29m,3
229,0.246,30m,3
230,0.298,31m,3
231,0.308,32m,3
232,0.403,33m,3
233,0.332,34m,3
234,0.368,35m,3
235,0.43,36m,3
236,0.41,37m,3
237,0.438,38m,3
238,0.419,39m,3
239,0.41,40m,3
240,0.41,41m,3
241,0.484,42m,3
242,0.492,43m,3
243,0.477,44m,3
244,0.524,45m,3
245,0.424,46m,3
246,0.518,47m,3
247,0.491,48m,3
248,0.514,49m,3
249,0.638,50m,3
250,0.0,1m,4
251,0.0,2m,4
252,0.0,3m,4
253,0.0,4m,4
254,0.0,5m,4
255,0.001,6m,4
256,0.005,7m,4
257,0.009,8m,4
258,0.008,9m,4
259,0.014,10m,4
260,0.028,11m,4
261,0.033,12m,4
262,0.041,13m,4
263,0.071,14m,4
264,0.099,15m,4
265,0.109,16m,4
266,0.103,17m,4
267,0.13,18m,4
268,0.17,19m,4
269,0.159,20m,4
270,0.147,21m,4
271,0.233,22m,4
272,0.16,23m,4
273,0.227,24m,4
274,0.219,25m,4
275,0.171,26m,4
276,0.304,27m,4
277,0.313,28m,4
278,0.385,29m,4
279,0.261,30m,4
280,0.314,31m,4
281,0.322,32m,4
282,0.408,33m,4
283,0.337,34m,4
284,0.371,35m,4
285,0.444,36m,4
286,0.423,37m,4
287,0.43,38m,4
288,0.432,39m,4
289,0.422,40m,4
290,0.422,41m,4
291,0.479,42m,4
292,0.502,43m,4
293,0.481,44m,4
294,0.529,45m,4
295,0.438,46m,4
296,0.52,47m,4
297,0.506,48m,4
298,0.535,49m,4
299,0.691,50m,4
